CENTRO;EQUIPAMENTO;TIPO;MODELO;DESCRIÇÃO;RACK;SLOT;PA;NUM. SÉRIE;VERSÃO SW
SITE025   ;HPE01.SITE025       ;CHASSIS;ASR9922             ;ROTEADOR CISCO ASR9922                            ;;;;FOX2214P419;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;asr-9922-fan-v2     ;ASR-9922 Fan Tray V2                              ;0;0;;FOC2230P049;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;a99-sfc2            ;ASR 9900 Series Switch Fabric Card 2              ;0;0;;FOC2228PNSA;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;a99-rp2-se          ;ASR 99 Route Processor for Service Edge           ;0;0;0;FOC2233NVDM;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;a9k-2x100ge-tr      ;2-port 100GE, Packet Transport Optimized LC       ;0;0;0;FOC1910N0M2;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;n/a                 ;RSP Card host                                     ;0;0;0;NULL       ;NULL                          
SITE025   ;HPE01.SITE025       ;MÓDULO ;n/a                 ;Power-Module host                                 ;0;0;0;NULL       ;NULL                          
SITE025   ;HPE01.SITE025       ;MÓDULO ;cfp-100g-lr4        ;100GBASE-LR4 CFP Module for SMF                   ;0;0;0;FNS191326MF;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;pwr-4.4kw-dc-v3     ;4.4kW DC V3 Power Module                          ;0;0;0;DTM223200KF;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;a9k-2x100ge-tr      ;2 Port 100 Gigabit Ethernet Daughter board        ;0;0;0;FOC1910N0M2;V0.0                          
SITE025   ;HPE01.SITE025       ;MÓDULO ;cfp-100g-lr4        ;100GBASE-LR4 CFP Module for SMF                   ;0;0;0;FNS210507CB;6.7.3                         
SITE025   ;HPE01.SITE025       ;MÓDULO ;n/a                 ;Power-Module host                                 ;0;0;1;NULL       ;NULL                          
SITE025   ;HPE01.SITE025       ;MÓDULO ;pwr-4.4kw-dc-v3     ;4.4kW DC V3 Power Module                          ;0;0;1;DTM2235021D;6.7.3                         
